score,url_path,cluster,slug,meta_broken,no_leadAnswerBlock,no_snippetBlocks,no_isTldr,title_over_budget,what_to_fix
89,/balcony-solar/balcony-solar-brazil-status-2027,balcony-solar,balcony-solar-brazil-status-2027,7,0,9,0,1,"rewrite metaDescription (7 locales: en,es,ar,ja,ko,pt,zh); add snippetBlocks (9); shorten seoTitle (1 locales over budget)"
83,/balcony-solar/balcony-solar-battery-storage-standard-2027,balcony-solar,balcony-solar-battery-storage-standard-2027,6,0,9,0,5,"rewrite metaDescription (6 locales: en,ar,de,es,fr,pt); add snippetBlocks (9); shorten seoTitle (5 locales over budget)"
83,/balcony-solar/balcony-solar-greece-status-2027,balcony-solar,balcony-solar-greece-status-2027,6,0,9,0,5,"rewrite metaDescription (6 locales: en,de,es,ar,ko,pt); add snippetBlocks (9); shorten seoTitle (5 locales over budget)"
82,/balcony-solar/balcony-solar-japan-status-2027,balcony-solar,balcony-solar-japan-status-2027,6,0,9,0,4,"rewrite metaDescription (6 locales: en,de,es,fr,ar,pt); add snippetBlocks (9); shorten seoTitle (4 locales over budget)"
74,/balcony-solar/meyer-burger-solarwatt-heckert-balcony-solar,balcony-solar,meyer-burger-solarwatt-heckert-balcony-solar,0,9,9,9,2,add leadAnswerBlock (9); add snippetBlocks (9); add isTldr section (9); shorten seoTitle (2 locales over budget)
73,/balcony-solar/balkonstrom-balcony-solar,balcony-solar,balkonstrom-balcony-solar,0,9,9,9,1,add leadAnswerBlock (9); add snippetBlocks (9); add isTldr section (9); shorten seoTitle (1 locales over budget)
73,/balcony-solar/green-solar-pluginenergy-balcony-solar,balcony-solar,green-solar-pluginenergy-balcony-solar,0,9,9,9,1,add leadAnswerBlock (9); add snippetBlocks (9); add isTldr section (9); shorten seoTitle (1 locales over budget)
72,/balcony-solar/kleines-kraftwerk-balcony-solar,balcony-solar,kleines-kraftwerk-balcony-solar,0,9,9,9,0,add leadAnswerBlock (9); add snippetBlocks (9); add isTldr section (9)
72,/balcony-solar/priwatt-balcony-solar,balcony-solar,priwatt-balcony-solar,0,9,9,9,0,add leadAnswerBlock (9); add snippetBlocks (9); add isTldr section (9)
71,/prompt-bites/best-local-llm-16gb-ram-laptop,prompt-bites,best-local-llm-16gb-ram-laptop,0,9,8,8,4,add leadAnswerBlock (9); add snippetBlocks (8); add isTldr section (8); shorten seoTitle (4 locales over budget)
70,/prompt-bites/can-you-run-rag-on-2gb-ram,prompt-bites,can-you-run-rag-on-2gb-ram,0,9,8,8,3,add leadAnswerBlock (9); add snippetBlocks (8); add isTldr section (8); shorten seoTitle (3 locales over budget)
69,/prompt-engineering/specs-framework,prompt-engineering,specs-framework,0,8,9,9,0,add leadAnswerBlock (8); add snippetBlocks (9); add isTldr section (9)
65,/balcony-solar/balcony-solar-china-2027,balcony-solar,balcony-solar-china-2027,4,0,9,0,7,"rewrite metaDescription (4 locales: en,de,es,pt); add snippetBlocks (9); shorten seoTitle (7 locales over budget)"
65,/balcony-solar/net-metering-rollback-balcony-solar-2027,balcony-solar,net-metering-rollback-balcony-solar-2027,4,0,9,0,7,"rewrite metaDescription (4 locales: de,es,fr,pt); add snippetBlocks (9); shorten seoTitle (7 locales over budget)"
63,/balcony-solar/balcony-solar-housing-associations-b2b-2027,balcony-solar,balcony-solar-housing-associations-b2b-2027,4,0,9,0,5,"rewrite metaDescription (4 locales: de,es,fr,pt); add snippetBlocks (9); shorten seoTitle (5 locales over budget)"
63,/balcony-solar/eu-800w-balcony-solar-standard-2027,balcony-solar,eu-800w-balcony-solar-standard-2027,4,0,9,0,5,"rewrite metaDescription (4 locales: en,es,ar,pt); add snippetBlocks (9); shorten seoTitle (5 locales over budget)"
54,/prompt-bites/is-balcony-solar-legal-colorado,prompt-bites,is-balcony-solar-legal-colorado,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
54,/prompt-bites/is-balcony-solar-legal-connecticut,prompt-bites,is-balcony-solar-legal-connecticut,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
54,/prompt-bites/is-balcony-solar-legal-maine,prompt-bites,is-balcony-solar-legal-maine,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
54,/prompt-bites/is-balcony-solar-legal-maryland,prompt-bites,is-balcony-solar-legal-maryland,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
54,/prompt-bites/is-balcony-solar-legal-new-hampshire,prompt-bites,is-balcony-solar-legal-new-hampshire,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
54,/prompt-bites/is-balcony-solar-legal-vermont,prompt-bites,is-balcony-solar-legal-vermont,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
54,/prompt-bites/is-balcony-solar-legal-virginia,prompt-bites,is-balcony-solar-legal-virginia,0,9,9,0,9,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (9 locales over budget)
53,/prompt-bites/is-balcony-solar-legal-utah,prompt-bites,is-balcony-solar-legal-utah,0,9,9,0,8,add leadAnswerBlock (9); add snippetBlocks (9); shorten seoTitle (8 locales over budget)
52,/local-llms/best-models-apple-silicon-2026,local-llms,best-models-apple-silicon-2026,0,0,9,9,7,add snippetBlocks (9); add isTldr section (9); shorten seoTitle (7 locales over budget)
